Month	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
1473	1	103.5489	0.04065	90.541	93.757	95.632	96.625	98.155	99.186	100.71	103.549	106.388	107.912	108.943	110.473	111.466	113.341	116.556
1474	1	103.5674	0.04065	90.557	93.773	95.649	96.643	98.172	99.204	100.728	103.567	106.407	107.931	108.963	110.492	111.486	113.361	116.577
1475	1	103.5858	0.04065	90.574	93.79	95.666	96.66	98.189	99.222	100.746	103.586	106.426	107.95	108.982	110.512	111.505	113.381	116.598
1476	1	103.6043	0.04066	90.587	93.804	95.681	96.675	98.206	99.238	100.763	103.604	106.446	107.97	109.003	110.533	111.527	113.404	116.622
1477	1	103.6227	0.04066	90.603	93.821	95.698	96.692	98.223	99.256	100.781	103.623	106.465	107.99	109.022	110.553	111.547	113.424	116.643
1478	1	103.6412	0.04067	90.616	93.835	95.713	96.708	98.239	99.273	100.798	103.641	106.484	108.01	109.043	110.574	111.569	113.447	116.667
1479	1	103.6596	0.04067	90.632	93.852	95.73	96.725	98.257	99.29	100.816	103.66	106.503	108.029	109.062	110.594	111.589	113.467	116.688
1480	1	103.678	0.04068	90.645	93.866	95.746	96.741	98.273	99.307	100.833	103.678	106.523	108.049	109.083	110.615	111.61	113.49	116.711
1481	1	103.6965	0.04068	90.661	93.883	95.763	96.758	98.29	99.324	100.851	103.697	106.542	108.069	109.103	110.635	111.63	113.51	116.732
1482	1	103.7149	0.04069	90.674	93.897	95.778	96.773	98.307	99.341	100.868	103.715	106.561	108.089	109.123	110.656	111.652	113.532	116.756
1483	1	103.7333	0.04069	90.69	93.914	95.795	96.791	98.324	99.359	100.886	103.733	106.58	108.108	109.143	110.676	111.672	113.553	116.777
1484	1	103.7517	0.04069	90.706	93.931	95.812	96.808	98.341	99.376	100.904	103.752	106.599	108.127	109.162	110.696	111.692	113.573	116.798
1485	1	103.7701	0.0407	90.719	93.945	95.827	96.823	98.358	99.393	100.921	103.77	106.619	108.147	109.183	110.717	111.714	113.595	116.822
1486	1	103.7885	0.0407	90.735	93.962	95.844	96.84	98.375	99.41	100.939	103.789	106.638	108.167	109.202	110.737	111.733	113.615	116.842
1487	1	103.807	0.04071	90.748	93.976	95.859	96.856	98.391	99.427	100.957	103.807	106.657	108.187	109.223	110.758	111.755	113.638	116.866
1488	1	103.8254	0.04071	90.764	93.993	95.876	96.873	98.409	99.445	100.975	103.825	106.676	108.206	109.242	110.778	111.775	113.658	116.887
1489	1	103.8438	0.04072	90.777	94.007	95.891	96.889	98.425	99.461	100.992	103.844	106.696	108.226	109.263	110.799	111.797	113.681	116.911
1490	1	103.8622	0.04072	90.793	94.023	95.908	96.906	98.442	99.479	101.01	103.862	106.715	108.246	109.282	110.819	111.817	113.701	116.932
1491	1	103.8806	0.04073	90.806	94.038	95.923	96.921	98.458	99.495	101.027	103.881	106.734	108.266	109.303	110.84	111.838	113.724	116.956
1492	1	103.899	0.04073	90.822	94.054	95.94	96.938	98.476	99.513	101.045	103.899	106.753	108.285	109.322	110.86	111.858	113.744	116.976
1493	1	103.9174	0.04073	90.838	94.071	95.957	96.955	98.493	99.531	101.063	103.917	106.772	108.304	109.342	110.879	111.878	113.764	116.997
1494	1	103.9357	0.04074	90.851	94.085	95.972	96.971	98.509	99.547	101.08	103.936	106.792	108.324	109.362	110.901	111.9	113.786	117.021
1495	1	103.9541	0.04074	90.867	94.102	95.989	96.988	98.527	99.565	101.098	103.954	106.811	108.343	109.382	110.92	111.919	113.806	117.042
1496	1	103.9725	0.04075	90.88	94.116	96.004	97.003	98.543	99.581	101.115	103.973	106.83	108.364	109.402	110.942	111.941	113.829	117.065
1497	1	103.9909	0.04075	90.896	94.133	96.021	97.021	98.56	99.599	101.133	103.991	106.849	108.383	109.422	110.961	111.961	113.849	117.086
1498	1	104.0093	0.04076	90.909	94.147	96.036	97.036	98.576	99.615	101.15	104.009	106.869	108.403	109.442	110.983	111.983	113.872	117.11
1499	1	104.0277	0.04076	90.925	94.164	96.053	97.053	98.594	99.633	101.168	104.028	106.888	108.422	109.462	111.002	112.003	113.892	117.131
1500	1	104.046	0.04077	90.937	94.178	96.068	97.069	98.61	99.649	101.185	104.046	106.907	108.443	109.482	111.023	112.024	113.914	117.155
1501	1	104.0644	0.04077	90.953	94.194	96.085	97.086	98.627	99.667	101.203	104.064	106.926	108.462	109.502	111.043	112.044	113.934	117.175
1502	1	104.0828	0.04078	90.966	94.209	96.1	97.101	98.643	99.684	101.22	104.083	106.946	108.482	109.522	111.064	112.066	113.957	117.199
1503	1	104.1011	0.04078	90.982	94.225	96.117	97.118	98.661	99.701	101.238	104.101	106.964	108.501	109.542	111.084	112.086	113.977	117.22
1504	1	104.1195	0.04078	90.998	94.242	96.134	97.135	98.678	99.719	101.256	104.12	106.983	108.52	109.561	111.104	112.105	113.997	117.241
1505	1	104.1379	0.04079	91.011	94.256	96.149	97.151	98.694	99.735	101.273	104.138	107.003	108.54	109.582	111.125	112.127	114.02	117.265
1506	1	104.1562	0.04079	91.027	94.273	96.166	97.168	98.711	99.753	101.291	104.156	107.022	108.56	109.601	111.144	112.147	114.04	117.285
1507	1	104.1746	0.0408	91.04	94.287	96.181	97.183	98.728	99.769	101.308	104.175	107.041	108.58	109.622	111.166	112.169	114.062	117.309
1508	1	104.1929	0.0408	91.056	94.303	96.198	97.201	98.745	99.787	101.326	104.193	107.06	108.599	109.641	111.185	112.188	114.082	117.33
1509	1	104.2113	0.04081	91.069	94.318	96.213	97.216	98.761	99.803	101.343	104.211	107.08	108.619	109.662	111.207	112.21	114.105	117.354
1510	1	104.2296	0.04081	91.085	94.334	96.229	97.233	98.778	99.821	101.361	104.23	107.099	108.638	109.681	111.226	112.23	114.125	117.374
1511	1	104.248	0.04082	91.098	94.348	96.244	97.248	98.794	99.838	101.378	104.248	107.118	108.658	109.702	111.248	112.252	114.148	117.398
1512	1	104.2663	0.04082	91.114	94.365	96.261	97.266	98.812	99.855	101.396	104.266	107.137	108.678	109.721	111.267	112.271	114.168	117.419
1513	1	104.2847	0.04082	91.13	94.382	96.278	97.283	98.829	99.873	101.413	104.285	107.156	108.697	109.74	111.287	112.291	114.188	117.44
1514	1	104.303	0.04083	91.143	94.396	96.293	97.298	98.845	99.889	101.431	104.303	107.175	108.717	109.761	111.308	112.313	114.21	117.463
1515	1	104.3213	0.04083	91.159	94.412	96.31	97.315	98.863	99.907	101.448	104.321	107.194	108.736	109.78	111.327	112.332	114.23	117.484
1516	1	104.3397	0.04084	91.171	94.427	96.325	97.331	98.879	99.923	101.466	104.34	107.214	108.756	109.801	111.349	112.354	114.253	117.508
1517	1	104.358	0.04084	91.187	94.443	96.342	97.348	98.896	99.941	101.483	104.358	107.233	108.775	109.82	111.368	112.374	114.273	117.529
1518	1	104.3763	0.04085	91.2	94.457	96.357	97.363	98.912	99.957	101.5	104.376	107.252	108.795	109.841	111.39	112.396	114.295	117.552
1519	1	104.3947	0.04085	91.216	94.474	96.374	97.38	98.929	99.975	101.518	104.395	107.271	108.815	109.86	111.409	112.415	114.315	117.573
1520	1	104.413	0.04086	91.229	94.488	96.389	97.396	98.945	99.991	101.535	104.413	107.291	108.835	109.881	111.43	112.437	114.338	117.597
1521	1	104.4313	0.04086	91.245	94.505	96.406	97.413	98.963	100.009	101.553	104.431	107.309	108.854	109.9	111.45	112.457	114.358	117.618
1522	1	104.4496	0.04086	91.261	94.521	96.423	97.43	98.98	100.026	101.571	104.45	107.328	108.873	109.919	111.47	112.476	114.378	117.638
1523	1	104.4679	0.04087	91.274	94.535	96.438	97.445	98.996	100.043	101.588	104.468	107.348	108.893	109.94	111.491	112.498	114.4	117.662
1524	1	104.4863	0.04087	91.29	94.552	96.455	97.462	99.014	100.06	101.606	104.486	107.367	108.912	109.959	111.51	112.518	114.421	117.683
1525	1	104.5046	0.04088	91.303	94.566	96.47	97.478	99.03	100.077	101.623	104.505	107.386	108.932	109.98	111.532	112.54	114.443	117.707
1526	1	104.5229	0.04088	91.319	94.583	96.486	97.495	99.047	100.094	101.641	104.523	107.405	108.951	109.999	111.551	112.559	114.463	117.727
1527	1	104.5412	0.04089	91.331	94.597	96.501	97.51	99.063	100.111	101.658	104.541	107.424	108.972	110.019	111.572	112.581	114.486	117.751
1528	1	104.5595	0.04089	91.347	94.613	96.518	97.527	99.08	100.128	101.676	104.56	107.443	108.991	110.039	111.592	112.601	114.506	117.772
1529	1	104.5778	0.04089	91.363	94.63	96.535	97.544	99.098	100.146	101.694	104.578	107.462	109.01	110.058	111.612	112.62	114.526	117.792
1530	1	104.5961	0.0409	91.376	94.644	96.55	97.559	99.114	100.162	101.711	104.596	107.482	109.03	110.079	111.633	112.642	114.548	117.816
1531	1	104.6144	0.0409	91.392	94.661	96.567	97.577	99.131	100.18	101.728	104.614	107.5	109.049	110.098	111.652	112.662	114.568	117.837
1532	1	104.6327	0.04091	91.405	94.675	96.582	97.592	99.147	100.196	101.746	104.633	107.52	109.069	110.118	111.674	112.683	114.591	117.861
1533	1	104.651	0.04091	91.421	94.691	96.599	97.609	99.164	100.214	101.763	104.651	107.539	109.088	110.138	111.693	112.703	114.611	117.881
1534	1	104.6693	0.04092	91.434	94.705	96.614	97.624	99.18	100.23	101.78	104.669	107.558	109.108	110.158	111.714	112.725	114.633	117.905
1535	1	104.6876	0.04092	91.45	94.722	96.631	97.641	99.198	100.248	101.798	104.688	107.577	109.127	110.178	111.734	112.745	114.653	117.926
1536	1	104.7059	0.04093	91.462	94.736	96.646	97.657	99.214	100.264	101.815	104.706	107.597	109.148	110.198	111.755	112.766	114.676	117.949
1537	1	104.7242	0.04093	91.478	94.753	96.662	97.674	99.231	100.282	101.833	104.724	107.615	109.167	110.217	111.775	112.786	114.696	117.97
1538	1	104.7425	0.04093	91.494	94.769	96.679	97.691	99.248	100.299	101.851	104.743	107.634	109.186	110.237	111.794	112.806	114.716	117.991
1539	1	104.7608	0.04094	91.507	94.783	96.694	97.706	99.264	100.316	101.868	104.761	107.654	109.206	110.257	111.815	112.827	114.738	118.015
1540	1	104.7791	0.04094	91.523	94.8	96.711	97.723	99.282	100.333	101.886	104.779	107.672	109.225	110.277	111.835	112.847	114.758	118.035
1541	1	104.7974	0.04095	91.536	94.814	96.726	97.739	99.298	100.35	101.903	104.797	107.692	109.245	110.297	111.856	112.869	114.781	118.059
1542	1	104.8157	0.04095	91.552	94.831	96.743	97.756	99.315	100.367	101.921	104.816	107.711	109.264	110.316	111.876	112.888	114.801	118.08
1543	1	104.8339	0.04096	91.564	94.845	96.758	97.771	99.331	100.383	101.938	104.834	107.73	109.284	110.337	111.897	112.91	114.823	118.103
1544	1	104.8522	0.04096	91.58	94.861	96.775	97.788	99.348	100.401	101.955	104.852	107.749	109.303	110.356	111.916	112.93	114.843	118.124
1545	1	104.8705	0.04097	91.593	94.875	96.79	97.803	99.364	100.417	101.973	104.871	107.768	109.324	110.377	111.938	112.951	114.866	118.148
1546	1	104.8888	0.04097	91.609	94.892	96.806	97.82	99.382	100.435	101.99	104.889	107.787	109.343	110.396	111.957	112.971	114.886	118.168
1547	1	104.9071	0.04097	91.625	94.908	96.823	97.837	99.399	100.452	102.008	104.907	107.806	109.362	110.415	111.977	112.991	114.906	118.189
1548	1	104.9253	0.04098	91.638	94.922	96.838	97.853	99.415	100.469	102.025	104.925	107.825	109.382	110.436	111.998	113.012	114.928	118.213
1549	1	104.9436	0.04098	91.654	94.939	96.855	97.87	99.432	100.486	102.043	104.944	107.844	109.401	110.455	112.017	113.032	114.948	118.233
1550	1	104.9619	0.04099	91.667	94.953	96.87	97.885	99.448	100.503	102.06	104.962	107.864	109.421	110.476	112.039	113.054	114.971	118.257
1551	1	104.9802	0.04099	91.683	94.97	96.887	97.902	99.466	100.52	102.078	104.98	107.883	109.44	110.495	112.058	113.074	114.991	118.278
1552	1	104.9984	0.041	91.695	94.984	96.902	97.917	99.481	100.537	102.095	104.998	107.902	109.46	110.515	112.079	113.095	115.013	118.302
1553	1	105.0167	0.041	91.711	95	96.919	97.934	99.499	100.554	102.113	105.017	107.921	109.479	110.535	112.099	113.115	115.033	118.322
1554	1	105.035	0.041	91.727	95.017	96.935	97.952	99.516	100.572	102.13	105.035	107.94	109.498	110.554	112.118	113.135	115.053	118.343
1555	1	105.0532	0.04101	91.74	95.031	96.95	97.967	99.532	100.588	102.147	105.053	107.959	109.518	110.574	112.14	113.156	115.076	118.367
1556	1	105.0715	0.04101	91.756	95.047	96.967	97.984	99.549	100.606	102.165	105.072	107.978	109.537	110.594	112.159	113.176	115.096	118.387
1557	1	105.0898	0.04102	91.768	95.061	96.982	97.999	99.565	100.622	102.182	105.09	107.997	109.558	110.614	112.18	113.197	115.118	118.411
1558	1	105.108	0.04102	91.784	95.078	96.999	98.016	99.583	100.639	102.2	105.108	108.016	109.577	110.633	112.2	113.217	115.138	118.432
1559	1	105.1263	0.04103	91.797	95.092	97.014	98.032	99.599	100.656	102.217	105.126	108.036	109.597	110.654	112.221	113.239	115.161	118.455
1560	1	105.1445	0.04103	91.813	95.108	97.031	98.048	99.616	100.673	102.235	105.145	108.054	109.616	110.673	112.241	113.258	115.181	118.476
1561	1	105.1628	0.04104	91.826	95.123	97.046	98.064	99.632	100.69	102.252	105.163	108.074	109.636	110.694	112.262	113.28	115.203	118.5
1562	1	105.1811	0.04104	91.842	95.139	97.062	98.081	99.649	100.707	102.27	105.181	108.093	109.655	110.713	112.281	113.3	115.223	118.52
1563	1	105.1993	0.04104	91.858	95.156	97.079	98.098	99.666	100.725	102.287	105.199	108.111	109.674	110.732	112.301	113.319	115.243	118.541
1564	1	105.2176	0.04105	91.87	95.17	97.094	98.113	99.682	100.741	102.304	105.218	108.131	109.694	110.753	112.322	113.341	115.266	118.565
1565	1	105.2358	0.04105	91.886	95.186	97.111	98.13	99.7	100.758	102.322	105.236	108.15	109.713	110.772	112.341	113.361	115.285	118.585
1566	1	105.2541	0.04106	91.899	95.2	97.126	98.145	99.716	100.775	102.339	105.254	108.169	109.733	110.793	112.363	113.382	115.308	118.609
1567	1	105.2723	0.04106	91.915	95.217	97.143	98.162	99.733	100.792	102.357	105.272	108.188	109.752	110.812	112.382	113.402	115.328	118.63
1568	1	105.2906	0.04107	91.928	95.231	97.158	98.178	99.749	100.809	102.374	105.291	108.207	109.772	110.832	112.403	113.424	115.35	118.654
1569	1	105.3088	0.04107	91.943	95.247	97.174	98.195	99.766	100.826	102.392	105.309	108.226	109.791	110.852	112.423	113.443	115.37	118.674
1570	1	105.3271	0.04107	91.959	95.264	97.191	98.212	99.783	100.844	102.409	105.327	108.245	109.81	110.871	112.442	113.463	115.39	118.695
1571	1	105.3453	0.04108	91.972	95.278	97.206	98.227	99.799	100.86	102.426	105.345	108.264	109.831	110.891	112.464	113.485	115.413	118.719
1572	1	105.3635	0.04108	91.988	95.294	97.223	98.244	99.817	100.877	102.444	105.364	108.283	109.85	110.91	112.483	113.504	115.433	118.739
1573	1	105.3818	0.04109	92.001	95.308	97.238	98.259	99.833	100.894	102.461	105.382	108.302	109.87	110.931	112.504	113.526	115.455	118.763
1574	1	105.4	0.04109	92.017	95.325	97.254	98.276	99.85	100.911	102.479	105.4	108.321	109.889	110.95	112.524	113.546	115.475	118.783
1575	1	105.4183	0.0411	92.029	95.339	97.269	98.292	99.866	100.928	102.496	105.418	108.341	109.909	110.971	112.545	113.567	115.498	118.807
1576	1	105.4365	0.0411	92.045	95.355	97.286	98.309	99.883	100.945	102.514	105.437	108.359	109.928	110.99	112.564	113.587	115.518	118.828
1577	1	105.4547	0.04111	92.058	95.369	97.301	98.324	99.899	100.962	102.531	105.455	108.379	109.948	111.011	112.586	113.608	115.54	118.852
1578	1	105.473	0.04111	92.074	95.386	97.318	98.341	99.916	100.979	102.548	105.473	108.398	109.967	111.03	112.605	113.628	115.56	118.872
1579	1	105.4912	0.04111	92.09	95.402	97.335	98.358	99.933	100.996	102.566	105.491	108.416	109.986	111.049	112.625	113.648	115.58	118.893
1580	1	105.5094	0.04112	92.102	95.416	97.349	98.373	99.949	101.013	102.583	105.509	108.436	110.006	111.069	112.646	113.669	115.602	118.917
1581	1	105.5277	0.04112	92.118	95.433	97.366	98.39	99.967	101.03	102.601	105.528	108.455	110.025	111.089	112.665	113.689	115.622	118.937
1582	1	105.5459	0.04113	92.131	95.447	97.381	98.405	99.983	101.047	102.618	105.546	108.474	110.045	111.109	112.686	113.711	115.645	118.961
1583	1	105.5641	0.04113	92.147	95.463	97.398	98.422	100	101.064	102.636	105.564	108.493	110.064	111.128	112.706	113.73	115.665	118.981
1584	1	105.5824	0.04114	92.159	95.478	97.413	98.438	100.016	101.08	102.653	105.582	108.512	110.084	111.149	112.727	113.752	115.687	119.005
1585	1	105.6006	0.04114	92.175	95.494	97.43	98.455	100.033	101.098	102.67	105.601	108.531	110.103	111.168	112.747	113.772	115.707	119.026
1586	1	105.6188	0.04114	92.191	95.51	97.446	98.472	100.05	101.115	102.688	105.619	108.55	110.122	111.187	112.766	113.791	115.727	119.046
1587	1	105.637	0.04115	92.204	95.524	97.461	98.487	100.066	101.132	102.705	105.637	108.569	110.142	111.208	112.787	113.813	115.75	119.07
1588	1	105.6553	0.04115	92.22	95.541	97.478	98.504	100.083	101.149	102.723	105.655	108.588	110.161	111.227	112.807	113.832	115.77	119.091
1589	1	105.6735	0.04116	92.232	95.555	97.493	98.519	100.099	101.166	102.74	105.674	108.607	110.181	111.248	112.828	113.854	115.792	119.115
1590	1	105.6917	0.04116	92.248	95.571	97.51	98.536	100.117	101.183	102.757	105.692	108.626	110.2	111.267	112.847	113.874	115.812	119.135
1591	1	105.7099	0.04117	92.261	95.585	97.525	98.551	100.132	101.199	102.774	105.71	108.645	110.221	111.287	112.868	113.895	115.834	119.159
1592	1	105.7281	0.04117	92.277	95.602	97.541	98.568	100.15	101.217	102.792	105.728	108.664	110.24	111.306	112.888	113.915	115.854	119.179
1593	1	105.7463	0.04117	92.293	95.618	97.558	98.585	100.167	101.234	102.81	105.746	108.683	110.258	111.326	112.907	113.934	115.874	119.2
1594	1	105.7646	0.04118	92.305	95.632	97.573	98.601	100.183	101.251	102.827	105.765	108.702	110.279	111.346	112.929	113.956	115.897	119.224
1595	1	105.7828	0.04118	92.321	95.649	97.59	98.618	100.2	101.268	102.845	105.783	108.721	110.298	111.365	112.948	113.976	115.917	119.244
1596	1	105.801	0.04119	92.334	95.663	97.605	98.633	100.216	101.284	102.862	105.801	108.74	110.318	111.386	112.969	113.997	115.939	119.268
1597	1	105.8192	0.04119	92.35	95.679	97.621	98.65	100.233	101.302	102.879	105.819	108.759	110.337	111.405	112.989	114.017	115.959	119.289
1598	1	105.8374	0.0412	92.362	95.693	97.636	98.665	100.249	101.318	102.896	105.837	108.779	110.357	111.426	113.01	114.039	115.981	119.312
1599	1	105.8556	0.0412	92.378	95.71	97.653	98.682	100.266	101.335	102.914	105.856	108.797	110.376	111.445	113.029	114.058	116.001	119.333
1600	1	105.8738	0.0412	92.394	95.726	97.67	98.699	100.284	101.353	102.932	105.874	108.816	110.395	111.464	113.049	114.078	116.021	119.353
1601	1	105.892	0.04121	92.407	95.74	97.685	98.714	100.3	101.369	102.949	105.892	108.835	110.415	111.484	113.07	114.099	116.044	119.377
1602	1	105.9102	0.04121	92.423	95.757	97.701	98.731	100.317	101.387	102.966	105.91	108.854	110.434	111.504	113.089	114.119	116.064	119.398
1603	1	105.9284	0.04122	92.435	95.771	97.716	98.746	100.333	101.403	102.983	105.928	108.873	110.454	111.524	113.11	114.141	116.086	119.421
1604	1	105.9466	0.04122	92.451	95.787	97.733	98.763	100.35	101.42	103.001	105.947	108.892	110.473	111.543	113.13	114.16	116.106	119.442
1605	1	105.9648	0.04123	92.464	95.801	97.748	98.779	100.366	101.437	103.018	105.965	108.912	110.493	111.564	113.151	114.182	116.128	119.466
1606	1	105.983	0.04123	92.48	95.818	97.765	98.796	100.383	101.454	103.036	105.983	108.93	110.512	111.583	113.17	114.201	116.148	119.486
1607	1	106.0012	0.04123	92.496	95.834	97.781	98.812	100.4	101.472	103.053	106.001	108.949	110.531	111.602	113.19	114.221	116.168	119.507
1608	1	106.0194	0.04124	92.508	95.848	97.796	98.828	100.416	101.488	103.07	106.019	108.968	110.551	111.623	113.211	114.243	116.191	119.531
1609	1	106.0376	0.04124	92.524	95.865	97.813	98.845	100.433	101.505	103.088	106.038	108.987	110.57	111.642	113.231	114.262	116.211	119.551
1610	1	106.0558	0.04125	92.537	95.878	97.828	98.86	100.449	101.522	103.105	106.056	109.007	110.59	111.662	113.252	114.284	116.233	119.575
1611	1	106.074	0.04125	92.553	95.895	97.844	98.877	100.467	101.539	103.123	106.074	109.025	110.609	111.681	113.271	114.304	116.253	119.595
1612	1	106.0922	0.04126	92.565	95.909	97.859	98.892	100.482	101.555	103.14	106.092	109.045	110.629	111.702	113.292	114.325	116.275	119.619
1613	1	106.1104	0.04126	92.581	95.925	97.876	98.909	100.5	101.573	103.157	106.11	109.063	110.648	111.721	113.312	114.345	116.295	119.64
1614	1	106.1286	0.04127	92.594	95.939	97.891	98.924	100.515	101.589	103.174	106.129	109.083	110.668	111.742	113.333	114.366	116.318	119.664
1615	1	106.1467	0.04127	92.609	95.956	97.908	98.941	100.533	101.606	103.192	106.147	109.101	110.687	111.761	113.352	114.386	116.338	119.684
1616	1	106.1649	0.04127	92.625	95.972	97.924	98.958	100.55	101.624	103.21	106.165	109.12	110.706	111.78	113.372	114.405	116.358	119.705
1617	1	106.1831	0.04128	92.638	95.986	97.939	98.973	100.566	101.64	103.227	106.183	109.14	110.726	111.8	113.393	114.427	116.38	119.728
1618	1	106.2013	0.04128	92.654	96.003	97.956	98.99	100.583	101.658	103.244	106.201	109.158	110.745	111.82	113.412	114.447	116.4	119.749
1619	1	106.2195	0.04129	92.666	96.017	97.971	99.005	100.599	101.674	103.261	106.22	109.178	110.765	111.84	113.434	114.468	116.422	119.773
1620	1	106.2377	0.04129	92.682	96.033	97.987	99.022	100.616	101.691	103.279	106.238	109.196	110.784	111.859	113.453	114.488	116.442	119.793
1621	1	106.2558	0.0413	92.695	96.047	98.002	99.038	100.632	101.708	103.296	106.256	109.216	110.804	111.88	113.474	114.509	116.465	119.817
1622	1	106.274	0.0413	92.711	96.063	98.019	99.055	100.649	101.725	103.314	106.274	109.234	110.823	111.899	113.493	114.529	116.485	119.837
1623	1	106.2922	0.0413	92.726	96.08	98.036	99.072	100.666	101.742	103.331	106.292	109.253	110.842	111.918	113.513	114.549	116.505	119.858
1624	1	106.3104	0.04131	92.739	96.094	98.051	99.087	100.682	101.759	103.348	106.31	109.273	110.862	111.939	113.534	114.57	116.527	119.882
1625	1	106.3285	0.04131	92.755	96.11	98.067	99.104	100.699	101.776	103.366	106.329	109.291	110.881	111.958	113.553	114.59	116.547	119.902
1626	1	106.3467	0.04132	92.767	96.124	98.082	99.119	100.715	101.792	103.383	106.347	109.311	110.901	111.978	113.575	114.611	116.569	119.926
1627	1	106.3649	0.04132	92.783	96.141	98.099	99.136	100.732	101.81	103.401	106.365	109.329	110.92	111.997	113.594	114.631	116.589	119.946
1628	1	106.3831	0.04132	92.799	96.157	98.116	99.153	100.75	101.827	103.418	106.383	109.348	110.939	112.016	113.613	114.651	116.609	119.967
1629	1	106.4012	0.04133	92.812	96.171	98.13	99.168	100.765	101.843	103.435	106.401	109.367	110.959	112.037	113.635	114.672	116.631	119.991
1630	1	106.4194	0.04133	92.828	96.187	98.147	99.185	100.783	101.861	103.453	106.419	109.386	110.978	112.056	113.654	114.692	116.651	120.011
1631	1	106.4376	0.04134	92.84	96.201	98.162	99.2	100.799	101.877	103.47	106.438	109.405	110.998	112.077	113.675	114.713	116.674	120.035
1632	1	106.4557	0.04134	92.856	96.218	98.179	99.217	100.816	101.894	103.487	106.456	109.424	111.017	112.096	113.695	114.733	116.694	120.055
1633	1	106.4739	0.04135	92.869	96.232	98.193	99.232	100.832	101.911	103.504	106.474	109.443	111.037	112.116	113.716	114.754	116.716	120.079
1634	1	106.4921	0.04135	92.884	96.248	98.21	99.249	100.849	101.928	103.522	106.492	109.462	111.056	112.135	113.735	114.774	116.736	120.1
1635	1	106.5102	0.04135	92.9	96.265	98.227	99.266	100.866	101.946	103.54	106.51	109.481	111.075	112.154	113.754	114.794	116.756	120.12
1636	1	106.5284	0.04136	92.913	96.278	98.242	99.281	100.882	101.962	103.557	106.528	109.5	111.095	112.175	113.776	114.815	116.778	120.144
1637	1	106.5465	0.04136	92.929	96.295	98.258	99.298	100.899	101.979	103.574	106.547	109.519	111.114	112.194	113.795	114.835	116.798	120.164
1638	1	106.5647	0.04137	92.941	96.309	98.273	99.313	100.915	101.995	103.591	106.565	109.538	111.134	112.215	113.816	114.856	116.821	120.188
1639	1	106.5829	0.04137	92.957	96.325	98.29	99.33	100.932	102.013	103.609	106.583	109.557	111.153	112.234	113.836	114.876	116.841	120.209
1640	1	106.601	0.04138	92.97	96.339	98.305	99.345	100.948	102.029	103.626	106.601	109.576	111.173	112.254	113.857	114.897	116.863	120.232
1641	1	106.6192	0.04138	92.985	96.356	98.321	99.362	100.965	102.047	103.643	106.619	109.595	111.192	112.273	113.876	114.917	116.883	120.253
1642	1	106.6373	0.04138	93.001	96.372	98.338	99.379	100.982	102.064	103.661	106.637	109.614	111.211	112.292	113.895	114.937	116.903	120.273
1643	1	106.6555	0.04139	93.014	96.386	98.353	99.394	100.998	102.08	103.678	106.656	109.633	111.231	112.313	113.917	114.958	116.925	120.297
1644	1	106.6736	0.04139	93.03	96.402	98.369	99.411	101.015	102.098	103.696	106.674	109.652	111.25	112.332	113.936	114.978	116.945	120.318
1645	1	106.6918	0.0414	93.042	96.416	98.384	99.426	101.031	102.114	103.713	106.692	109.671	111.27	112.352	113.957	114.999	116.967	120.341
1646	1	106.7099	0.0414	93.058	96.433	98.401	99.443	101.048	102.131	103.73	106.71	109.69	111.289	112.372	113.977	115.019	116.987	120.362
1647	1	106.7281	0.04141	93.07	96.447	98.416	99.458	101.064	102.147	103.747	106.728	109.709	111.309	112.392	113.998	115.04	117.01	120.386
1648	1	106.7462	0.04141	93.086	96.463	98.432	99.475	101.081	102.165	103.765	106.746	109.728	111.328	112.411	114.017	115.06	117.029	120.406
1649	1	106.7644	0.04141	93.102	96.479	98.449	99.492	101.099	102.182	103.782	106.764	109.746	111.347	112.43	114.036	115.08	117.049	120.427
1650	1	106.7825	0.04142	93.115	96.493	98.464	99.507	101.114	102.198	103.799	106.783	109.766	111.367	112.451	114.058	115.101	117.072	120.45
1651	1	106.8006	0.04142	93.13	96.51	98.481	99.524	101.131	102.216	103.817	106.801	109.784	111.385	112.47	114.077	115.121	117.092	120.471
1652	1	106.8188	0.04143	93.143	96.524	98.495	99.539	101.147	102.232	103.834	106.819	109.804	111.406	112.49	114.098	115.142	117.114	120.495
1653	1	106.8369	0.04143	93.159	96.54	98.512	99.556	101.164	102.249	103.851	106.837	109.822	111.424	112.509	114.117	115.162	117.134	120.515
1654	1	106.8551	0.04144	93.171	96.554	98.527	99.572	101.18	102.266	103.868	106.855	109.842	111.445	112.53	114.139	115.183	117.156	120.539
1655	1	106.8732	0.04144	93.187	96.57	98.543	99.588	101.197	102.283	103.886	106.873	109.86	111.463	112.549	114.158	115.203	117.176	120.559
1656	1	106.8913	0.04144	93.203	96.587	98.56	99.605	101.215	102.3	103.904	106.891	109.879	111.482	112.568	114.177	115.222	117.196	120.58
1657	1	106.9095	0.04145	93.215	96.601	98.575	99.62	101.23	102.317	103.921	106.91	109.898	111.502	112.589	114.199	115.244	117.218	120.604
1658	1	106.9276	0.04145	93.231	96.617	98.592	99.637	101.248	102.334	103.938	106.928	109.917	111.521	112.608	114.218	115.264	117.238	120.624
